Base_file_path,Base_time,Base_k,Base_solver,Base_neg_state,Base_status,Base_frame_sizes,Base_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e7_2499.lus,0.12,1,29,3,unsafe,1,0.498
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,4.477,5,2934,27,safe,25 20 14 8,4.845
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,7.495,5,4319,31,safe,42 37 28 12,7.876
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329.lus,0.227,1,54,5,unsafe,3,0.607
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329_e3_4574.lus,0.31,1,107,8,unsafe,6,0.699
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329_e7_3856.lus,0.253,1,84,7,unsafe,5,0.654
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5.lus,0.5,4,385,7,safe,9 7 4,0.871
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,0.571,4,407,7,safe,9 7 4,0.945
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,0.602,4,480,8,safe,11 8 5,0.965
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e7_2017.lus,0.143,1,38,3,unsafe,1,0.533
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e7_2017_e1_5832.lus,0.094,1,23,2,unsafe,0,0.47
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e7_2017_e2_664.lus,0.131,1,32,3,unsafe,1,0.511
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e7_2017_e3_1763.lus,0.245,1,69,5,unsafe,3,0.639
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e7_2017_e7_2326.lus,0.205,1,61,5,unsafe,3,0.609
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_6.lus,0.05,2,25,1,safe,1,0.423
