Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e7_1163.lus,0.811,4,975,14,0,0,Not Found,safe,11 8 6,1.152
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e7_606.lus,1.543,5,1443,24,0,0,Not Found,safe,14 13 12 7,1.897
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2.lus,253.651,11,48604,173,0,94,Not Found,timeout,162 156 151 147 135 122 107 90 71 50 26,290.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e1_556.lus,39.682,4,6352,44,0,1,Not Found,unsafe,37 22 13 4,40.062
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e2_617.lus,1.421,5,1539,14,0,0,Not Found,safe,5 4 3 1,1.778
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e3_287.lus,2.276,2,990,16,0,0,Not Found,unsafe,17 8,2.621
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440.lus,185.302,6,25831,77,0,4,Not Found,timeout,39 35 31 26 21 17,290.152
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_190.lus,127.221,13,31134,85,0,31,Not Found,safe,76 74 72 69 67 66 64 61 52 42 30 15,127.582
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e1_389.lus,7.567,3,2256,25,0,0,Not Found,unsafe,16 10 2,7.927
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e2_13.lus,0.931,4,1034,12,0,0,Not Found,safe,4 3 1,1.28
